d,n,v,plan,trials,wall_ms,min_trial_ms,max_trial_ms,trial_cv,peak_allocated_mib,extra_peak_allocated_mib,peak_reserved_mib,timed_block_seconds,tokens_per_s
512,512,32768,native,3,6.598869777772304,6.586993333333642,6.609083999990162,0.001687977594702833,305.755859375,224.501953125,356.0,0.05938982799995074,77589.0443731176
512,512,32768,torch:256,3,9.326193666668006,9.191092666677983,9.48061333333309,0.015625230403136164,258.259765625,177.005859375,292.0,0.08393574300001205,54899.13873758571
512,512,32768,cuda:64,3,13.813149666671304,13.613256333333842,14.154206333330421,0.0214882113250284,214.25732421875,133.00341796875,260.0,0.12431834700004174,37066.129909195566
512,512,32768,cuda:256,3,5.7292713333336245,5.604917333338714,5.968389666662688,0.03615434528725512,226.25732421875,145.00341796875,260.0,0.051563442000002624,89365.64009826508
512,512,32768,cuda:1024,3,5.344136555559468,5.215906333328728,5.586102666673772,0.03923441695776443,242.25732421875,161.00341796875,292.0,0.04809722900003521,95805.93509860258
512,512,65536,native,3,13.346407222223256,13.329944999990554,13.375081333341162,0.001867414822253203,593.755859375,448.501953125,740.0,0.12011766500000931,38362.38408397002
512,512,65536,torch:256,3,18.387392555549948,18.344771999996585,18.410355999994483,0.0020093923939252427,498.259765625,353.005859375,548.0,0.16548653299994953,27845.166107875408
512,512,65536,cuda:64,3,27.224408111111288,27.219362666680052,27.22850433332269,0.00017058834426698284,410.25732421875,265.00341796875,484.0,0.2450196730000016,18806.65312944063
512,512,65536,cuda:256,3,11.16287277777259,11.145262333324505,11.17368766666497,0.001378044129467547,434.25732421875,289.00341796875,484.0,0.10046585499995331,45866.32941114314
512,512,65536,cuda:1024,3,10.663883000006535,10.619189666670081,10.718930666674472,0.004751577522913332,466.25732421875,321.00341796875,548.0,0.09597494700005882,48012.52976984896
512,2048,32768,native,3,19.25408799999357,18.929938999993585,19.47448866665506,0.014891203188357415,886.267578125,802.001953125,1122.0,0.17328679199994212,106367.02190208563
512,2048,32768,torch:256,3,35.68738388889238,35.62146199999461,35.74763600001537,0.0017731138633635963,264.271484375,180.005859375,290.0,0.3211864550000314,57387.226992490076
512,2048,32768,cuda:64,3,52.777857222227766,52.623076000003266,52.88180166667189,0.0025891403833773513,220.26904296875,136.00341796875,258.0,0.4750007150000499,38804.15211585116
512,2048,32768,cuda:256,3,21.175053888886925,21.110747333333773,21.258730666659176,0.0035829629251709415,232.26904296875,148.00341796875,258.0,0.19057548499998234,96717.58148747048
512,2048,32768,cuda:1024,3,14.3644365555594,14.26547733333905,14.496532666669282,0.008287033909034165,280.26904296875,196.00341796875,322.0,0.1292799290000346,142574.33572689435
512,2048,65536,native,3,40.22685555556096,39.90405966666799,40.47267733333607,0.0072593121807395895,1750.267578125,1602.001953125,2146.0,0.36204170000004865,50911.262431917436
512,2048,65536,torch:256,3,71.31975799999977,71.07468499999452,71.66609700000966,0.004324700694472279,504.271484375,356.005859375,546.0,0.6418778219999979,28715.74522168186
512,2048,65536,cuda:64,3,105.38292244444847,105.32563500000454,105.47493466666917,0.0007636866705678717,416.26904296875,268.00341796875,482.0,0.9484463020000362,19433.888836016882
512,2048,65536,cuda:256,3,45.166487666664224,44.17492899998857,46.414231000009444,0.025271407988684016,440.26904296875,292.00341796875,482.0,0.40649838899997803,45343.35313196284
512,2048,65536,cuda:1024,3,31.891923333328503,31.7028726666706,32.205477666650495,0.008574495739356053,536.26904296875,388.00341796875,610.0,0.2870273099999565,64216.885842684416
512,4096,32768,native,3,38.10502344445076,37.91627066667994,38.44956733333523,0.00784249779722091,1660.283203125,1572.001953125,2018.0,0.3429452110000568,107492.38892271306
512,4096,32768,torch:256,3,71.64928888887958,71.22154733333257,71.93494366665239,0.005266293907103916,272.287109375,184.005859375,322.0,0.6448435999999163,57167.350346665124
512,4096,32768,cuda:64,3,104.99370577778046,104.72135999999448,105.2417190000104,0.0024861630117952688,228.28466796875,140.00341796875,258.0,0.9449433520000241,39011.8623745808
512,4096,32768,cuda:256,3,44.81554322222476,44.22030500000081,45.33887566666787,0.012556836032712843,240.28466796875,152.00341796875,258.0,0.4033398890000228,91396.86156852667
512,4096,32768,cuda:1024,3,32.52029400000033,31.890329333331618,33.12819966667272,0.019041338219013878,288.28466796875,200.00341796875,322.0,0.29268264600000293,125952.12085105869
512,4096,65536,native,3,80.00900088888822,79.10148833333135,80.93269666666932,0.011445105101843597,3292.283203125,3140.001953125,3938.0,0.720081007999994,51194.24007916663
512,4096,65536,torch:256,3,141.64795977778036,140.64544466666953,142.34918266667287,0.00628977704561615,512.287109375,360.005859375,546.0,1.2748316380000233,28916.759594884898
512,4096,65536,cuda:64,3,210.51283422222076,210.1432379999911,210.78032600000066,0.0015703996161475619,424.28466796875,272.00341796875,482.0,1.894615507999987,19457.24599230941
512,4096,65536,cuda:256,3,91.22555122221836,90.50458899999587,91.77113200000046,0.007138690475395559,448.28466796875,296.00341796875,482.0,0.8210299609999652,44899.70129117074
512,4096,65536,cuda:1024,3,66.7997176666625,65.66515533333472,68.04497099998723,0.017870778652688817,544.28466796875,392.00341796875,610.0,0.6011974589999625,61317.62443128073
