method,valid_repeats,wall_ms,tokens_per_s,min_ms,max_ms,cv,min_tokens_per_s,max_tokens_per_s,peak_allocated_mib,peak_reserved_mib,measured_updates,measured_tokens,measured_wall_s
native,3,50.45155446999919,40593.3973990402,50.01366282999925,51.094949619998715,0.011281769162064484,40082.239345205395,40948.81046727829,841.33447265625,858.0,300,614400,15.135466340999756
torch_1024,3,57.835113399999805,35411.013821925124,57.54466295999919,58.10727799999995,0.0048716582185658625,35245.15466031642,35589.74707043847,809.8359375,858.0,300,614400,17.35053401999994
cuda_1024,3,43.941435606667106,46607.489530662104,43.737514179999835,44.21773280000025,0.005647415278275989,46316.259797019455,46824.79190681814,569.8359375,602.0,300,614400,13.182430682000131
