d,n,v,budget_mib,selected,largest_predicted_feasible,best_observed,selected_matches_largest,selection_overhead_ms,actual_ms,actual_extra_mib,budget_met,predicted_ms,predicted_extra_mib,regret_vs_best_observed,speedup_vs_largest,speedup_vs_fixed_cuda,calibration_break_even_uses,native_extra_mib,native_within_budget,selected_vs_native_speedup
512,512,32768,384,cuda:1024,cuda:1024,cuda:1024,True,0.07389999998963503,5.344136555559468,161.00341796875,True,5.31805947826044,185.99476623535156,0.0,1.0,1.0720667920383702,6705,224.501953125,True,1.2347868938542645
512,512,32768,768,cuda:1024,cuda:1024,cuda:1024,True,0.04129299998112401,5.344136555559468,161.00341796875,True,5.31805947826044,185.99476623535156,0.0,1.0,1.0720667920383702,6705,224.501953125,True,1.2347868938542645
512,512,65536,384,cuda:1024,cuda:1024,cuda:1024,True,0.021169999996573097,10.663883000006535,321.00341796875,True,8.243730550723171,369.6711549758911,0.0,1.0,1.0467925030465683,5176,448.501953125,False,1.2515522931201586
512,512,65536,768,cuda:1024,cuda:1024,cuda:1024,True,0.01958199999307908,10.663883000006535,321.00341796875,True,8.243730550723171,369.6711549758911,0.0,1.0,1.0467925030465683,5176,448.501953125,True,1.2515522931201586
512,2048,32768,384,cuda:1024,cuda:1024,cuda:1024,True,0.019802999986495706,14.3644365555594,196.00341796875,True,15.291266898547486,229.63584518432617,0.0,1.0,1.474130489350217,380,802.001953125,False,1.3403998079229742
512,2048,32768,768,cuda:1024,cuda:1024,cuda:1024,True,0.019129000008888397,14.3644365555594,196.00341796875,True,15.291266898547486,229.63584518432617,0.0,1.0,1.474130489350217,380,802.001953125,False,1.3403998079229742
512,2048,65536,384,cuda:256,cuda:256,cuda:256,True,0.01945599998975922,45.166487666664224,292.00341796875,True,43.35819866994187,339.8147735595703,0.0,1.0,1.0,,1602.001953125,False,0.8906350179903622
512,2048,65536,768,cuda:1024,cuda:1024,cuda:1024,True,0.01911399999698915,31.891923333328503,388.00341796875,True,26.993951188398405,450.04751205444336,0.0,1.0,1.4162359289087842,195,1602.001953125,False,1.2613493120222723
512,4096,32768,384,cuda:1024,cuda:1024,cuda:1024,True,0.018947999990359676,32.52029400000033,200.00341796875,True,29.386339594196116,238.81966495513916,0.0,1.0,1.3780792763504632,211,1572.001953125,False,1.1717305951923551
512,4096,32768,768,cuda:1024,cuda:1024,cuda:1024,True,0.019140999995670427,32.52029400000033,200.00341796875,True,29.386339594196116,238.81966495513916,0.0,1.0,1.3780792763504632,211,1572.001953125,False,1.1717305951923551
512,4096,65536,384,cuda:256,cuda:256,cuda:256,True,0.021686999986059163,91.22555122221836,296.00341796875,True,86.60119728433256,348.998592376709,0.0,1.0,1.0,,3140.001953125,False,0.8770459571572499
512,4096,65536,768,cuda:1024,cuda:1024,cuda:1024,True,0.019074000022101245,66.7997176666625,392.00341796875,True,52.79170817389796,459.23133182525635,0.0,1.0,1.3656577364210323,106,3140.001953125,False,1.1977445965885876
