sequence,method,plan,trials,wall_ms,min_trial_ms,max_trial_ms,trial_cv,peak_allocated_mib,extra_peak_allocated_mib,peak_reserved_mib,timed_block_seconds,tokens_per_s
512,native,native,3,27.871229033333595,27.41930390000107,28.432009599998764,0.01847976357734107,576.7119140625,329.31298828125,636.0,0.8361368710000079,36740.39629810765
512,torch_chunked,torch:256,3,33.12432926666702,32.56776069999887,33.76159800000096,0.018143644621837027,496.9658203125,249.56689453125,524.0,0.9937298780000106,30913.833507579886
512,adaptive,cuda:1024,3,27.497082666665545,25.411004500000445,31.60357009999757,0.12934004864247187,464.96337890625,217.564453125,524.0,0.8249124799999663,37240.31426946196
1024,native,native,3,51.567965533333414,51.125291299996434,51.852202600002784,0.007533609907338502,839.4697265625,591.97705078125,866.0,1.5470389660000023,39714.578204101876
1024,torch_chunked,torch:256,3,63.64650596666669,62.245261100002836,65.889777000001,0.030838269366492883,567.9736328125,320.48095703125,578.0,1.9093951790000006,32177.72867331618
1024,adaptive,cuda:1024,3,44.458395233332716,44.42707549999909,44.51794409999934,0.001160500238316668,567.97119140625,320.478515625,578.0,1.3337518569999816,46065.54036085653
