sequence,repeat,native_ms,torch256_ms,cuda1024_ms,cuda_vs_native_speedup,cuda_vs_torch256_speedup,max_loss_trajectory_abs_difference
512,0,27.41930390000107,32.56776069999887,25.411004500000445,1.0790326647654007,1.281640035127234,3.0517578125e-05
512,1,27.762373600000956,33.043629100001226,25.476673399998617,1.0897173725986715,1.2970150608439726,4.9591064453125e-05
512,2,28.432009599998764,33.76159800000096,31.60357009999757,0.8996454992279797,1.0682843075378865,0.00012969970703125
1024,0,51.72640270000102,65.889777000001,44.430166099999724,1.1642180806522202,1.4829964140062355,1.430511474609375e-05
1024,1,51.125291299996434,62.245261100002836,44.42707549999909,1.1507687761261143,1.4010659130602487,1.9073486328125e-05
1024,2,51.852202600002784,62.804479799996216,44.51794409999934,1.1647483649183958,1.410767749268034,7.343292236328125e-05
